Region,District , 0-28 DAYS FEMALE ,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE ,10-19 YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE ,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS-4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE ,0-28 DAYS (B/S & RDT) MALE ,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE ,10-19 YRS (B/S & RDT) MALE,10-19 YRS  (B/S & RDT) TOTAL, 20+  (B/S &RDT) FEMALE , 20+  (B/S &RDT) MALE ,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE ,29DAYS-4YRS (B/S & RDT) MALE  ,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE ,5-9YRS (B/S & RDT) MALE ,5-9YRS (B/S & RDT) TOTAL,0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL  ,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt?=P0?×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E)
Karamoja,Abim District,2,5,7,13939,6695,20634,15856,7109,22965,7006,5270,12276,15415,13468,28883,2,5,7,13652,6564,20216,15352,6805,22157,14961,13081,28042,6903,5160,12063,2,4,6,13325,6427,19752,14997,6756,21753,14589,12773,27362,6710,5033,11743,674,1323,1997,52218,32547,84765,15417,13473,28890,107966,144084,2301,1.029278437,132134.7761,57.42493529,2.7067,33.6595
Acholi,Acholi,368,310,678,246462,132169,378631,228667,82226,310893,112043,87522,199565,131628,124808,256436,234,190,424,235954,126860,362814,207769,73865,281634,124793,118285,243078,106957,83803,190760,225,189,414,235560,126902,362462,208626,73592,282218,126070,118347,244417,106912,83896,190808,8552,17185,25737,719168,427035,1146203,131996,125118,257114,1500762,2044355,28522,1.031393639,1863300.782,65.32854577,,
West Nile,Adjumani District,24,15,39,63279,44827,108106,60259,26891,87150,37122,29949,67071,45284,42358,87642,12,13,25,61302,43442,104744,56951,25619,82570,43590,40939,84529,35920,29501,65421,12,12,24,61216,43362,104578,56278,25400,81678,43501,40583,84084,35651,28580,64231,1226,3460,4686,205968,144040,350008,45308,42373,87681,107966,144084,2301,1.029278437,132134.7761,57.42493529,3.2549,31.7195
Acholi,Agago District,25,21,46,40202,20974,61176,38604,11565,50169,16133,12026,28159,18736,17591,36327,19,19,38,39030,20462,59492,36406,11134,47540,18095,17080,35175,15710,11723,27433,18,19,37,38999,20410,59409,36706,11126,47832,18492,17124,35616,15620,11751,27371,1154,2459,3613,113700,62177,175877,18761,17612,36373,227792,307235,3493,1.03037004,280860.7314,80.40673672,2.9251, 33.3486
Lango,Alebtong District,50,32,82,18176,8163,26339,24600,6883,31483,11431,8883,20314,15520,14135,29655,50,32,82,18108,8111,26219,24420,6816,31236,15491,14097,29588,11399,8848,20247,49,32,81,17935,8038,25973,24143,6728,30871,15231,13818,29049,11292,8757,20049,1121,2262,3383,69777,38096,107873,15570,14167,29737,227541,283509,1534,1.022234935,265408.4183,173.0172218,2.2914,33.2139
Lango,Amolatar District,3,5,8,13572,8032,21604,15140,6861,22001,7990,7019,15009,7601,7285,14886,3,5,8,13571,8032,21603,15040,6860,21900,7601,7275,14876,7990,7019,15009,3,5,8,13364,7951,21315,14955,6829,21784,7536,7213,14749,7928,6953,14881,430,818,1248,44306,29202,73508,7604,7290,14894,147166,188715,1163,1.025179454,175148.6284,150.6007123,1.6054,32.8084
Karamoja,Amudat District,11,3,14,2942,2409,5351,5239,2181,7420,2678,2342,5020,4487,4121,8608,10,1,11,2753,2321,5074,4664,2024,6688,4294,3925,8219,2608,2296,4904,10,1,11,2722,2311,5033,4632,2022,6654,4181,3853,8034,2586,2266,4852,163,368,531,15357,11056,26413,4498,4124,8622,105769,203358,1616,1.067555067,167143.8505,103.4306006,1.7916,34.9066
Teso,Amuria District,25,20,45,19750,8627,28377,19801,6933,26734,8714,6137,14851,7704,7397,15101,23,18,41,19463,8566,28029,19399,6857,26256,7575,7288,14863,8636,6107,14743,23,18,41,19209,8450,27659,19117,6768,25885,7498,7200,14698,8536,6020,14556,728,1326,2054,55994,29114,85108,7729,7417,15146,183348,251653,1383,1.032173235,228846.53,165.471099,2.0302,33.6428
Acholi,Amuru District,11,11,22,26380,13275,39655,24407,9129,33536,12013,9420,21433,14648,13927,28575,11,10,21,25422,12986,38408,22529,8402,30931,14178,13478,27656,11757,9150,20907,10,10,20,25104,12815,37919,22111,8261,30372,13974,13297,27271,11640,9050,20690,768,1352,2120,77459,45762,123221,14659,13938,28597,186696,247574,3619,1.028624826,227475.1853,62.85581245,3.1042,32.0837
Ankole,Ankole,109,81,190,76663,61300,137963,128784,80583,209367,36623,30960,67583,35235,32390,67625,85,58,143,72597,58828,131425,117923,73939,191862,32967,30226,63193,34958,29330,64288,79,55,134,70604,57177,127781,115939,73544,189483,32654,30019,62673,34148,28677,62825,1298,4247,5545,277414,205314,482728,35344,32471,67815,2895631,3608968,15067,1.022266152,3378244.568,224.2148117,,
Lango,Apac District,17,9,26,13082,6459,19541,17579,8662,26241,4359,3405,7764,5179,4642,9821,13,6,19,12835,6355,19190,16973,8257,25230,5038,4509,9547,4299,3363,7662,13,6,19,12828,6348,19176,16933,8243,25176,5015,4489,9504,4293,3355,7648,706,1518,2224,40216,23177,63393,5196,4651,9847,185322,221962,1783,1.018204859,210267.9759,117.9293191,1.8445,32.4014
West Nile,Arua City,31,74,105,12730,7367,20097,21367,11162,32529,6310,5169,11479,8427,8325,16752,32,35,67,11629,6730,18359,22033,9757,31790,7862,7764,15626,5851,4626,10477,26,10,36,12263,7049,19312,20627,11006,31633,8110,7962,16072,6064,4811,10875,1576,3338,4914,48865,32097,80962,8458,8399,16857,309052,384656,404,1.022125199,360213.6992,891.6180672,3.0274,30.9071
West Nile,Arua District,2,7,9,7842,4172,12014,7076,3080,10156,3554,2712,6266,2964,2858,5822,2,7,9,7709,4074,11783,6838,2988,9826,2900,2751,5651,3466,2640,6106,2,7,9,7766,4139,11905,6963,3042,10005,2949,2825,5774,9424,2669,12093,337,548,885,21438,12829,34267,2966,2865,5831,133534,159722,800,1.018069175,151367.5827,189.2094783,3.0018,30.9876
Bukedi,Budaka District,13,5,18,11742,4857,16599,16516,3826,20342,10501,7745,18246,15551,13566,29117,13,5,18,11693,4828,16521,16379,3765,20144,15500,13487,28987,10417,7722,18139,13,5,18,11493,4743,16236,16128,3712,19840,15173,13222,28395,10284,7592,17876,776,1520,2296,54323,29999,84322,15564,13571,29135,207597,281537,410,1.030935371,256945.5833,626.6965447,1.1005,34.0196
Bugisu,Bududa District,0,1,1,3119,2037,5156,4818,2994,7812,1123,1069,2192,1410,1377,2787,0,1,1,3072,2025,5097,4797,2959,7756,1380,1343,2723,1109,1055,2164,0,1,1,2999,1975,4974,4602,2848,7450,1334,1307,2641,1081,1031,2112,294,414,708,10470,7478,17948,1410,1378,2788,210173,26897,318,0.814165494,49838.5923,156.725133,1.003,34.3338
Busoga,Bugiri District,62,33,95,14633,7724,22357,24941,9901,34842,13380,10611,23991,18442,16720,35162,61,32,93,14590,7697,22287,24789,9830,34619,18402,16677,35079,13344,10582,23926,61,32,93,14478,7644,22122,24823,9692,34515,18143,16414,34557,13238,10500,23738,1128,2339,3467,71458,44989,116447,18504,16753,35257,382913,480345,1033,1.022928589,448763.2922,434.4271947,0.5316, 33.7518
Bugisu,Bugisu,252,188,440,55839,35698,91537,101701,59699,161400,30253,24375,54628,45024,39420,84444,240,185,425,53078,34124,87202,95477,54281,149758,43011,37691,80702,29000,23320,52320,240,185,425,52405,33798,86203,94332,53625,147957,42692,37296,79988,28696,23139,51835,4481,7430,11911,233069,159380,392449,45276,39608,84884,1469892,1827757,2447,1.022029197,1712097.712,699.6721342,1.0783,34.1737
Busoga,Bugweri District,11,8,19,11559,6409,17968,19515,8065,27580,7901,6431,14332,11031,10163,21194,11,8,19,11504,6367,17871,19352,7989,27341,10990,10117,21107,7931,6386,14317,11,8,19,11414,6331,17745,19064,7926,26990,10860,9993,20853,7800,6329,14129,844,1490,2334,50017,31076,81093,11042,10171,21213,164886,211511,302,1.025214919,196285.4942,649.9519675,0.6116,33.5952
Ankole,Buhweju District,0,0,0,430,415,845,644,547,1191,299,169,468,202,161,363,0,0,0,428,412,840,642,543,1185,202,161,363,297,169,466,0,0,0,421,406,827,630,532,1162,201,161,362,296,169,465,4,16,20,1575,1292,2867,202,161,363,12072,167921,751,1.301165617,76226.72766,101.5003031,0.3558,30.3897
North Central,Buikwe District,44,18,62,17115,14064,31179,31039,20409,51448,11158,8763,19921,15491,13924,29415,36,17,53,15945,11256,27201,27397,18939,46336,14442,12928,27370,10618,8344,18962,35,17,52,15735,11142,26877,26983,18625,45608,14258,12766,27024,10496,8224,18720,983,2238,3221,74847,57178,132025,15535,13942,29477,422771,520158,1270,1.020946558,488794.4368,384.8775093,0.2827, 33.0339
Teso,Bukedea District,14,13,27,9429,4294,13723,15754,5672,21426,4005,2732,6737,5581,5020,10601,14,13,27,9421,4272,13693,15597,5648,21245,5541,5008,10549,4002,2730,6732,14,13,27,9302,4227,13529,15558,5607,21165,5385,4890,10275,3910,2687,6597,1050,2468,3518,34783,17731,52514,5595,5033,10628,203600,282864,1032,1.033427444,256293.5679,248.3464805,1.3557,34.1087
Bukedi,Bukedi,187,167,354,124341,66581,190922,185386,66730,252116,95192,74681,169873,128351,115093,243444,170,156,326,122258,65604,187862,180215,64912,245127,125908,112732,238640,93926,73927,167853,172,158,330,120541,64497,185038,177309,65332,242641,124283,111592,235875,92579,72725,165304,5848,11421,17269,533457,323252,856709,128538,115260,243798,1881415,2372489,4504,1.023462561,2213035.221,491.3488502,,
South Central,Bukomansimbi District,4,1,5,3616,3156,6772,5218,2924,8142,2400,2257,4657,2866,2824,5690,4,59,63,3606,3152,6758,5206,2921,8127,2871,2826,5697,2398,2250,4648,4,1,5,3618,3145,6763,5216,2916,8132,2875,2821,5696,2426,2268,4694,79,325,404,14104,11162,25266,2870,2825,5695,151413,197568,600,1.026964294,182410.81,304.0180166,0.1433,31.6055
Bugisu,Bukwo District,0,0,0,2206,1847,4053,2655,2462,5117,1333,1192,2525,1070,953,2023,0,0,0,1822,1576,3398,2061,2001,4062,868,769,1637,1119,999,2118,0,0,0,1785,1532,3317,2009,1970,3979,851,763,1614,1105,993,2098,76,124,200,7264,6454,13718,1070,953,2023,89356,114396,525,1.025011439,106224.5019,202.3323845,1.2819,34.7299
Bugisu,Bulambuli District,4,7,11,4273,2425,6698,8610,4657,13267,2269,1530,3799,2709,2603,5312,4,7,11,4042,2289,6331,8184,4411,12595,2505,2398,4903,2103,1437,3540,4,7,11,4030,2305,6335,8165,4368,12533,2563,2467,5030,2151,1465,3616,394,712,1106,17865,11222,29087,2713,2610,5323,174513,235391,695,1.030377121,215179.668,309.6110331,1.4815,34.2866
Bunyoro,Buliisa District,2,2,4,10155,5435,15590,11557,4807,16364,6937,5645,12582,10871,10341,21212,2,2,4,9343,5034,14377,10066,4236,14302,9937,9463,19400,6354,5187,11541,1,2,3,9598,4994,14592,9930,4373,14303,9858,9252,19110,6376,5160,11536,873,1949,2822,39522,26230,65752,10873,10343,21216,113161,167894,1367,1.040240696,149153.5712,109.1101472,1.8992,31.3542
Tooro,Bundibugyo District,39,25,64,14986,8470,23456,28669,14372,43041,9003,6575,15578,11791,10313,22104,38,137,175,14760,8344,23104,28169,14121,42290,11672,10176,21848,8884,6496,15380,38,25,63,14850,8397,23247,28311,14265,42576,11729,10211,21940,8927,6523,15450,649,1240,1889,64488,39755,104243,11830,10338,22168,224387,264778,850,1.016689692,251951.3187,296.4133162,0.6852, 30.0203
Tooro,Bunyangabu District,5,0,5,2210,1953,4163,3535,2766,6301,1193,1054,2247,1283,1252,2535,6,7,13,2089,1840,3929,3310,2606,5916,1179,1161,2340,1150,1006,2156,6,0,6,1932,1718,3650,3175,2507,5682,1108,1124,2232,1084,938,2022,66,151,217,8226,7025,15251,1288,1252,2540,170247,219012,466,1.025507508,203072.6229,435.7781606,0.4871,30.2051
Bunyoro,Bunyoro,187,120,307,82318,51529,133847,114175,60677,174852,48851,35898,84749,71861,63768,135629,107,96,203,77036,48683,125719,106182,54428,160610,64624,59363,123987,41543,33712,75255,122,102,224,77694,81994,159688,104570,55337,159907,64501,59366,123867,41980,34095,76075,6624,14567,21191,317392,211992,529384,72048,63888,135936,2028545,2792732,16580,1.032486689,2537323.705,153.0352053,,
Ankole,Bushenyi District,1,1,2,3785,3700,7485,5362,3778,9140,1426,1281,2707,1066,1021,2087,1,1,2,3688,3640,7328,5060,3481,8541,1037,996,2033,1396,1251,2647,1,1,2,3648,3600,7248,4983,3408,8391,1025,988,2013,1374,1232,2606,59,172,231,11640,9781,21421,1067,1022,2089,234443,283392,845,1.019142779,267721.0326,316.8296243,0.4875,30.1127
Bukedi,Busia District,37,23,60,26108,15751,41859,43824,19375,63199,16144,12730,28874,24129,22636,46765,31,19,50,25762,15670,41432,42438,19190,61628,23935,22395,46330,16159,12690,28849,31,19,50,25602,15503,41105,42487,19036,61523,23915,22268,46183,16115,12642,28757,1175,2051,3226,110242,70515,180757,24166,22659,46825,323662,412671,729,1.024592621,383663.3188,526.2871315,0.4045,34.0196
Busoga,Busoga,550,344,894,226136,125602,351738,414857,193383,608240,152472,116145,268617,245207,214054,459261,502,294,796,221532,122312,343844,402648,185745,588393,239260,209133,448393,149330,113151,262481,496,290,786,218995,120774,339769,397286,183248,580534,236412,206510,442922,147459,111730,259189,22073,43619,65692,1039222,649528,1688750,245757,214398,460155,3583196,4363295,9443,1.019892507,4112930.519,435.5533748,,
Bukedi,Butaleja District,11,8,19,15273,8170,23443,23395,8194,31589,13478,10801,24279,18624,16937,35561,7,5,12,14360,7719,22079,20967,7443,28410,17197,15568,32765,12688,10430,23118,8,6,14,14080,7690,21770,20223,8995,29218,16987,15517,32504,12793,10428,23221,578,1206,1784,70781,44110,114891,18635,16945,35580,244153,312771,655,1.025076887,290373.6171,443.3184994,,
South Central,Butambala District,0,4,4,5122,4810,9932,5936,3672,9608,2420,2441,4861,2391,2220,4611,0,2,2,4634,4491,9125,5220,3323,8543,2121,1963,4084,2208,2262,4470,0,2,2,4526,4399,8925,5147,3282,8429,2091,1933,4024,2157,2216,4373,101,367,468,15869,13147,29016,2391,2224,4615,10084,146516,405,1.306848434,65646.16932,162.089307,0.1742,32.1065
Bukedi,Butebo District,26,27,53,10547,4945,15492,14872,4859,19731,8377,6177,14554,9502,8436,17938,26,27,53,10508,4931,15439,14782,4839,19621,9486,8408,17894,8362,6165,14527,25,27,52,10088,4432,14520,14387,4409,18796,9103,8134,17237,7668,5574,13242,275,768,1043,43324,24444,67768,9528,8463,17991,111762,171433,236,1.043710436,150783.683,638.9139111,1.2393,33.83
North Central,Buvuma District,1,2,3,2844,1663,4507,5993,3253,9246,1885,1532,3417,3456,3054,6510,1,2,3,2801,1637,4438,5820,3161,8981,3360,2941,6301,1855,1513,3368,1,2,3,2819,1646,4465,5754,3182,8936,3393,2994,6387,1867,1510,3377,226,455,681,14179,9504,23683,3457,3056,6513,8989,110832,296,1.285568963,52164.97857,176.2330357,0.3765,33.2588
Busoga,Buyende District,57,49,106,8446,4311,12757,14990,6982,21972,5733,4484,10217,12751,12098,24849,57,49,106,8445,4314,12759,15233,6981,22214,12749,12099,24848,5733,4484,10217,57,49,106,8445,4311,12756,14990,6981,21971,12751,12090,24841,5733,4484,10217,2784,4775,7559,41977,27924,69901,12808,12147,24955,323067,403486,1379,1.022477093,377457.1956,273.7180534,1.2414,33.1239
Lango,Dokolo District,14,10,24,20098,8711,28809,24031,6910,30941,10773,8063,18836,14315,12315,26630,14,9,23,18837,8143,26980,22332,6194,28526,13490,11588,25078,10163,7599,17762,14,8,22,18602,7961,26563,22127,6360,28487,13342,11397,24739,9939,7342,17281,1416,2282,3698,69231,36009,105240,14329,12325,26654,183093,215625,1004,1.016489126,205300.9225,204.4829906,1.9131,33.1717
Tooro,Fort Portal City,7,6,13,969,815,1784,2387,1839,4226,550,460,1010,622,531,1153,8,14,22,879,762,1641,2055,1719,3774,562,488,1050,499,447,946,8,4,12,877,764,1641,2088,1709,3797,557,494,1051,504,439,943,42,138,180,4535,3651,8186,629,537,1166,10224,137549,127,1.296831825,63067.62235,496.5954516,0.6546,30.2801
South Central,Gomba District,3,0,3,5003,4084,9087,7448,5610,13058,2571,2212,4783,2156,2012,4168,3,0,3,4543,3731,8274,6646,4989,11635,1951,1831,3782,2294,1967,4261,3,0,3,4998,4082,9080,7421,5592,13013,2153,120894,123047,2571,2212,4783,141,460,601,17181,13918,31099,2159,2012,4171,159922,19912,1670,0.811933886,37200.85164,22.27595906,0.223,31.6739
Acholi,Gulu City,147,149,296,9645,6377,16022,18585,11034,29619,5755,5126,10881,8412,8186,16598,50,52,102,7159,4593,11752,10617,5821,16438,5805,5617,11422,4311,3734,8045,49,51,100,7003,4405,11408,10255,5581,15836,5614,5556,11170,4075,3586,7661,647,1573,2220,42544,30872,73416,8559,8335,16894,185042,233271,222,1.023432122,217612.3906,980.2359936,2.7743,32.2882
Acholi,Gulu District,9,6,15,21288,10150,31438,19811,6445,26256,9564,7217,16781,11003,10114,21117,9,6,15,18755,8959,27714,17022,5824,22846,9880,9059,18939,8508,6474,14982,9,5,14,20648,9888,30536,19061,6310,25371,10687,9764,20451,9304,6990,16294,1028,1737,2765,61675,33932,95607,11012,10120,21132,108428,135373,1721,1.022442893,126652.8222,73.59257535,2.955,32.4467
Bunyoro,Hoima City,1,2,3,2266,1720,3986,5867,3936,9803,1043,909,1952,1941,1653,3594,0,1,1,1921,1426,3347,4482,3001,7483,1660,1406,3066,872,788,1660,0,1,1,2030,1489,3519,4770,3006,7776,1721,1452,3173,898,815,1713,112,231,343,11118,8220,19338,1942,1655,3597,100099,143304,227,1.036532342,128679.6114,566.8705348,1.4274,31.3484
Bunyoro,Hoima District,1,2,3,3911,2239,6150,4951,2509,7460,2137,1568,3705,3153,2849,6002,1,1,2,3845,2205,6050,4854,2396,7250,3098,2795,5893,2109,1542,3651,4,5,9,3857,2183,6040,4808,2381,7189,3093,2773,5866,2067,1528,3595,696,1207,1903,14153,9167,23320,3154,2851,6005,205432,257544,1341,1.022865037,240655.8559,179.459997,1.6343,31.171
Ankole,Ibanda District,7,8,15,19716,14786,34502,35514,21555,57069,8361,7016,15377,7151,6277,13428,1,5,6,17856,13681,31537,31713,18865,50578,6386,5547,11933,7609,6147,13756,1,5,6,17365,13277,30642,30857,18520,49377,6279,5388,11667,7502,6035,13537,305,791,1096,70749,49642,120391,7158,6285,13443,249625,309466,622,1.021721392,290145.2616,466.4714816,0.0966,30.4818
Busoga,Iganga District,34,19,53,30037,18056,48093,53929,26054,79983,18151,14109,32260,25978,22825,48803,30,18,48,28974,17169,46143,51858,24688,76546,25065,22211,47276,17473,13484,30957,29,17,46,28196,16631,44827,50548,23515,74063,24647,21666,46313,16915,13100,30015,1871,4206,6077,128129,81063,209192,26012,22844,48856,339311,426958,633,1.023242857,398518.9621,629.57182,0.7236,33.4832
Ankole,Isingiro District,9,2,11,19619,14886,34505,34204,21570,55774,11465,9073,20538,14141,13268,27409,9,2,11,19114,14588,33702,32199,20127,52326,13495,12525,26020,11195,8829,20024,9,2,11,18441,14082,32523,32444,20951,53395,13569,12760,26329,10880,8586,19466,445,1189,1634,79438,58799,138237,14150,13270,27420,486360,635077,2536,1.027038806,586227.0097,231.1620701,0.8435,30.8039
Busoga,Jinja City,146,69,215,10116,6417,16533,22781,12949,35730,6078,5208,11286,8749,8014,16763,113,28,141,8684,5572,14256,18067,9472,27539,7310,6740,14050,5092,4222,9314,112,26,138,8451,5414,13865,17495,9249,26744,7096,6490,13586,4929,4106,9035,372,1245,1617,47870,32657,80527,8895,8083,16978,247074,279184,179,1.012293266,269135.8067,1503.551993,0.5349,33.2139
Busoga,Jinja District,38,26,64,16497,9211,25708,31265,15108,46373,11286,8339,19625,18488,15081,33569,34,24,58,15670,8742,24412,28949,14175,43124,17465,14257,31722,10842,7994,18836,34,23,57,15415,8672,24087,28504,14027,42531,17159,14004,31163,10675,7916,18591,845,1804,2649,77574,47765,125339,18526,15107,33633,224168,280905,499,1.022818525,262520.7968,526.0937812,0.5349,33.2139
Karamoja,Kaabong District,181,114,295,5302,3805,9107,11093,5919,17012,3060,2797,5857,8421,8039,16460,13,18,31,5191,3721,8912,10646,5700,16346,8233,7899,16132,3006,2665,5671,13,18,31,5178,3708,8886,10582,5668,16250,8229,7894,16123,2988,2657,5645,137,1131,1268,28057,20674,48731,8602,8153,16755,116646,264631,4751,1.085368184,206970.9808,43.56366677,3.5696,34.242
Kigezi,Kabale District,1,0,1,330,341,671,1220,1683,2903,120,75,195,184,169,353,1,0,1,297,320,617,1165,1620,2785,155,140,295,111,65,176,1,0,1,290,306,596,1088,1532,2620,150,146,296,109,64,173,1,37,38,1855,2268,4123,185,169,354,230609,285588,561,1.021612905,267843.3353,477.4391003,1.3505,30.0203
