Region,District , 0-28 DAYS FEMALE ,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE ,10-19 YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE ,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS-4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE ,0-28 DAYS (B/S & RDT) MALE ,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE ,10-19 YRS (B/S & RDT) MALE,10-19 YRS  (B/S & RDT) TOTAL, 20+  (B/S &RDT) FEMALE , 20+  (B/S &RDT) MALE ,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE ,29DAYS-4YRS (B/S & RDT) MALE  ,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE ,5-9YRS (B/S & RDT) MALE ,5-9YRS (B/S & RDT) TOTAL,0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL  ,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt?=P0?×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E)
Tooro,Kabarole District,15,1,16,3603,3102,6705,8163,6148,14311,2020,1790,3810,2409,2254,4663,1,1,2,3059,2682,5741,6902,5153,12055,1997,1745,3742,1780,1590,3370,1,1,2,2970,2580,5550,6760,5180,11940,1860,1663,3523,1634,1472,3106,44,211,255,16210,13295,29505,2424,2255,4679,196749,230368,1184,1.015900003,219719.8361,185.5741859,0.6833, 30.2974
Teso,Kaberamaido District,20,3,23,15630,8646,24276,14706,5369,20075,8163,6736,14899,9487,8704,18191,20,3,23,14795,8307,23102,14715,4999,19714,9044,8221,17265,7840,6402,14242,20,3,23,15181,8381,23562,13941,5012,18953,9162,8359,17521,7922,6527,14449,743,1273,2016,48006,29458,77464,9507,8707,18214,105152,140986,689,1.02975959,129112.5485,187.391217,1.6325, 33.1239
Bunyoro,Kagadi District,12,12,24,11592,7575,19167,17745,10011,27756,6131,4824,10955,7282,6993,14275,9,9,18,10853,7197,18050,17125,9301,26426,6810,6145,12955,5718,4513,10231,8,10,18,10751,7080,17831,16184,9197,25381,6431,5947,12378,5683,4411,10094,1018,1712,2730,42762,29415,72177,7294,7005,14299,351033,471111,1420,1.029858434,431311.1198,303.7402252,0.95,30.8
Bunyoro,Kakumiro District,6,6,12,9677,6061,15738,14353,6834,21187,5004,4025,9029,7309,6217,13526,5,4,9,9322,5839,15161,13726,6475,20201,7013,5986,12999,4840,3900,8740,5,3,8,9219,5760,14979,13586,6460,20046,6930,5929,12859,4744,3815,8559,738,1881,2619,36349,23143,59492,7315,6223,13538,293108,428176,1701,1.038626657,382158.8542,224.6671688,1.0028,31.3084
Teso,Kalaki District,28,30,58,9893,4410,14303,9176,3183,12359,6027,4868,10895,6082,5911,11993,28,30,58,9893,4410,14303,9176,3183,12359,6082,5911,11993,6027,4868,10895,28,30,58,9655,4269,13924,8990,3150,12140,5969,5789,11758,5845,4724,10569,563,1301,1864,31206,18402,49608,6110,5941,12051,109874,149736,658,1.031438004,136457.3207,207.3819463,,
South Central,Kalangala District,11,81,92,1357,1224,2581,3597,3681,7278,876,787,1663,1089,1088,2177,10,4,14,1286,1210,2496,3475,3629,7104,1044,1070,2114,802,737,1539,10,4,14,1259,1172,2431,3434,3573,7007,1047,1055,2102,794,736,1530,37,334,371,6930,6861,13791,1100,1169,2269,54293,74411,452,1.03202289,67696.95749,149.7720298,0.6351,32.5373
Busoga,Kaliro District,46,39,85,12549,6560,19109,26866,13294,40160,7617,5271,12888,15155,13371,28526,44,37,81,12523,6547,19070,26757,13269,40026,15098,13316,28414,7587,5262,12849,44,37,81,12431,6491,18922,26488,13158,39646,15034,13259,28293,7570,5242,12812,3339,5615,8954,62233,38535,100768,15201,13410,28611,286397,236199,779,0.980914059,250256.3912,321.2533905,0.8927,33.5028
South Central,Kalungu District,8,9,17,4178,3372,7550,5420,3180,8600,2069,1926,3995,2090,2178,4268,16,7,23,4016,3254,7270,5050,2972,8022,1904,1989,3893,2011,1860,3871,16,7,23,3956,3214,7170,4827,2889,7716,1909,1976,3885,1944,1831,3775,138,395,533,13765,10665,24430,2098,2187,4285,174368,221569,790,1.024245869,206203.6432,261.0172699,0.0953,31.7651
Kampala,Kampala,707,659,1366,23499,19083,42582,62017,52319,114336,16314,15567,31881,20008,19255,39263,263,228,491,15280,12683,27963,37183,32677,69860,12461,12077,24538,10551,9820,20371,297,249,546,14883,12338,27221,36888,32950,69838,12352,11765,24117,11227,9614,20841,1046,3498,4544,122545,106883,229428,20715,19914,40629,1507080,1797722,195,1.017791039,1705087.479,8744.038353,0.3152,32.5816
Kampala,Kampala District,707,659,1366,23499,19083,42582,62017,52319,114336,16314,15567,31881,20008,19255,39263,263,228,491,15280,12683,27963,37183,32677,69860,12461,12077,24538,10551,9820,20371,297,249,546,14883,12338,27221,36888,32950,69838,12352,11765,24117,11227,9614,20841,1046,3498,4544,122545,106883,229428,20715,19914,40629,1507080,1797722,195,1.017791039,1705087.479,8744.038353,0.3152,32.5816
Busoga,Kamuli District,33,9,42,42587,23236,65823,73779,34521,108300,26376,19245,45621,50512,41748,92260,30,9,39,41998,22829,64827,72275,33746,106021,49326,40781,90107,25972,18905,44877,30,9,39,40923,22280,63203,70424,32906,103330,47711,39696,87407,25316,18326,43642,4123,7284,11407,193287,118759,312046,50545,41757,92302,486319,540252,1515,1.01057259,523472.4615,345.5263772,0.9187,33.1239
Tooro,Kamwenge District,99,146,245,24444,15246,39690,32876,16030,48906,12581,9555,22136,16332,14914,31246,99,75,174,23487,14848,38335,31037,15421,46458,15914,14414,30328,12279,9292,21571,95,80,175,22636,14382,37018,30157,15094,45251,15064,13762,28826,11809,8865,20674,713,2349,3062,86332,55891,142223,16431,15060,31491,270668,337167,1695,1.022211623,315662.2279,186.2314029,0.2903,30.574
Kigezi,Kanungu District,8,8,16,10267,8108,18375,14192,8964,23156,4285,3520,7805,4341,3761,8102,11,5,16,9841,7761,17602,13411,8508,21919,4192,3648,7840,4161,3409,7570,11,5,16,9995,7855,17850,13759,8683,22442,4186,3673,7859,4161,3433,7594,156,516,672,33093,24361,57454,4349,3769,8118,252144,310062,1275,1.020892447,291412.7654,228.5590317,0.8195, 29.7426
Bugisu,Kapchorwa District,4,3,7,913,830,1743,2017,1445,3462,478,424,902,429,399,828,4,3,7,853,800,1653,1860,1380,3240,405,376,781,456,411,867,4,3,7,844,793,1637,1843,1371,3214,400,369,769,452,409,861,9,27,36,3841,3101,6942,433,402,835,105186,133621,212,1.024216287,124365.4325,586.6293984,1.3514,34.3754
Teso,Kapelebyong District,11,9,20,10159,4269,14428,12033,4024,16057,3753,2573,6326,2903,2571,5474,11,9,20,10119,4257,14376,12020,4001,16021,2890,2561,5451,3734,2557,6291,11,9,20,10144,4257,14401,12070,4001,16071,2891,2556,5447,3734,2557,6291,638,1133,1771,28859,13446,42305,2914,2580,5494,87580,143536,1203,1.050644012,123763.9238,102.8794047,2.211,33.7518
Karamoja,Karamoja,356,287,643,58185,34250,92435,96868,46516,143384,40584,32024,72608,114916,103483,218399,140,129,269,55677,32623,88300,88970,42640,131610,110343,99546,209889,39328,30923,70251,140,132,272,55293,32561,87854,88788,42941,131729,109376,98718,208094,39059,30783,69842,2879,7301,10180,310909,216560,527469,115272,103770,219042,965010,1496117,27407,1.044824564,1311702.767,47.8601367,2.8309,34.1532
Karamoja,Karenga District,5,1,6,4931,2811,7742,7468,3102,10570,2326,1728,4054,5220,5244,10464,5,1,6,4890,2759,7649,7740,3031,10771,5082,5064,10146,2283,1893,4176,5,1,6,4882,2756,7638,7691,3020,10711,5091,5077,10168,2291,1798,4089,252,692,944,19950,12886,32836,5225,5245,10470,51233,100375,25702,1.069565971,82035.68843,3.191801744,3.5691,33.6931
Tooro,Kasese District,112,70,182,32850,27984,60834,50210,32629,82839,14747,12983,27730,15789,14368,30157,99,58,157,31062,26771,57833,46013,31676,77689,14561,13197,27758,13940,12242,26182,99,58,157,30287,26017,56304,46285,30180,76465,14055,12798,26853,13433,11841,25274,665,1236,1901,113708,88034,201742,15901,14438,30339,694987,853831,2795,1.020797326,802700.156,287.191469,0.1699, 30.0781
North Central,Kassanda District,13,12,25,7820,5728,13548,13257,7436,20693,5060,4300,9360,6004,5449,11453,7,6,13,7593,5737,13330,12967,7307,20274,5715,5335,11050,4960,4271,9231,7,6,13,7338,5523,12861,12104,6950,19054,5563,5167,10730,4745,4098,8843,685,1964,2649,32154,22925,55079,6017,5461,11478,271544,314008,1819,1.014635493,300614.9413,165.263849,0.5761,31.7195
Teso,Katakwi District,7,4,11,26263,13275,39538,28535,12909,41444,13571,10264,23835,15045,13699,28744,7,4,11,26151,13261,39412,28499,12793,41292,15038,13693,28731,13558,10246,23804,7,4,11,25727,13062,38789,27761,12598,40359,14454,13151,27605,13241,10396,23637,2186,4990,7176,83421,50151,133572,15052,13703,28755,166231,234332,2306,1.03493234,211395.4934,91.67193991,1.9142,33.9583
North Central,Kayunga District,16,19,35,14895,9052,23947,22324,11875,34199,8105,6515,14620,12079,11362,23441,16,39,55,14765,8985,23750,22190,11839,34029,11958,11266,23224,8039,6457,14496,16,18,34,14617,8858,23475,21899,11614,33513,11770,11136,22906,7927,6394,14321,1156,2546,3702,57419,38823,96242,12095,11381,23476,368062,439175,1596,1.017821599,416507.3038,260.9694886,0.7014,32.9029
Ankole,Kazo District,49,38,87,10388,7994,18382,13221,7927,21148,4858,4032,8890,3095,2785,5880,38,28,66,9915,7719,17634,12137,7513,19650,2911,2635,5546,4630,3856,8486,32,23,55,9545,7394,16939,11762,7281,19043,2783,2522,5305,4446,3700,8146,147,721,868,31611,22776,54387,3144,2823,5967,177054,208898,1558,1.016676661,198785.9659,127.5904787,0.3576,32.5571
Bunyoro,Kibaale District,25,19,44,4076,2685,6761,6224,3755,9979,1949,1596,3545,3287,3017,6304,14,8,22,3807,2450,6257,5692,3316,9008,3094,2853,5947,1788,1445,3233,15,9,24,3777,2419,6196,5665,3328,8993,3047,2750,5797,1785,1428,3213,433,1168,1601,15561,11072,26633,3312,3036,6348,140947,237649,1153,1.053629727,203175.7842,176.2149039,0.8088,31.0335
North Central,Kiboga District,1,5,6,6139,12661,18800,10088,6987,17075,3609,3318,6927,4347,4339,8686,1,5,6,6037,5343,11380,9624,6693,16317,4116,4003,8119,3528,3241,6769,1,5,6,5928,5186,11114,9416,6633,16049,4048,3961,8009,3487,3168,6655,182,569,751,24184,27310,51494,4348,4344,8692,148218,183255,1586,1.02144618,171952.8458,108.4191966,0.8658,31.9473
Bukedi,Kibuku District,11,8,19,17881,8034,25915,25790,6332,32122,15276,11754,27030,20530,17616,38146,6,7,13,17692,7901,25593,25612,6203,31815,20353,17538,37891,15144,11629,26773,6,7,13,17663,7913,25576,25580,6207,31787,20353,17571,37924,15122,11608,26730,804,1693,2497,79488,43744,123232,20541,17624,38165,202033,249441,484,1.021302871,234155.4018,483.7921524,1.0453,33.7993
Kigezi,Kigezi,13,11,24,19288,15942,35230,29039,21666,50705,8115,6865,14980,8689,7795,16484,15,23,38,18387,15306,33693,26805,20551,47356,8125,7292,15417,7794,6604,14398,15,7,22,18373,15220,33593,26803,20378,47181,8006,7240,15246,7688,6544,14232,285,1020,1305,65144,52279,117423,8702,7806,16508,1376774,1787231,4993,1.026435829,1652666.709,330.9967373,0.2667,31.6167
Bunyoro,Kikuube District,62,58,120,22353,12354,34707,29327,14253,43580,16077,9477,25554,22792,19192,41984,55,57,112,20465,11641,32106,27617,12844,40461,18931,17965,36896,10763,8887,19650,67,58,125,21376,45502,66878,27586,13362,40948,19632,18604,38236,11310,9400,20710,1247,3321,4568,90611,55334,145945,22854,19250,42104,267455,379547,2098,1.035622516,341712.6926,162.8754493,1.2375,30.9876
Ankole,Kiruhura District,0,0,0,4365,4222,8587,6052,4458,10510,2083,2089,4172,1694,1782,3476,0,0,0,4365,4222,8587,6052,4452,10504,1692,1776,3468,2083,2089,4172,2,2,4,4361,4218,8579,6002,4422,10424,1681,1759,3440,2072,2079,4151,50,259,309,14194,12551,26745,1694,1782,3476,151023,203502,3003,1.03027357,186084.8451,61.96631537,0.322,30.8039
Bunyoro,Kiryandongo District,69,15,84,12908,9509,22417,13449,6569,20018,6414,5215,11629,10613,9268,19881,14,12,26,12359,9254,21613,12902,6240,19142,9686,8837,18523,6129,4983,11112,15,12,27,12046,8970,21016,12282,6397,18679,9486,8803,18289,6228,5104,11332,1318,2531,3849,43453,30576,74029,10682,9283,19965,266197,364872,3582,1.032033365,331939.7962,92.66884317,2.018,32.0837
Kigezi,Kisoro District,1,1,2,517,605,1122,1718,1751,3469,254,213,467,430,405,835,1,0,1,410,532,942,1336,1554,2890,269,265,534,218,187,405,1,0,1,404,523,927,1326,1523,2849,267,262,529,216,183,399,2,23,25,2920,2975,5895,431,406,837,281705,433662,690,1.044084579,381016.9748,552.1985142,1.1539,29.6499
Tooro,Kitagwenda District,1,1,2,5922,4203,10125,8784,4813,13597,2106,1828,3934,3068,2454,5522,1,1,2,5733,4071,9804,8349,4579,12928,2987,2386,5373,2029,1788,3817,1,1,2,5670,4035,9705,8385,4537,12922,2974,2375,5349,2007,1772,3779,321,764,1085,19881,13299,33180,3069,2455,5524,143786,184947,677,1.025493871,171493.666,253.31413,,
Acholi,Kitgum District,36,24,60,26680,14109,40789,24974,8931,33905,12018,9612,21630,15799,15589,31388,31,17,48,25760,13561,39321,23195,8455,31650,15022,14859,29881,11539,9161,20700,25,17,42,25331,13445,38776,23135,8438,31573,14999,14819,29818,11461,9150,20611,1041,1691,2732,79507,48265,127772,15835,15613,31448,204048,239655,4391,1.016214565,228365.371,52.00759985,3.3397,33.1689
West Nile,Koboko District,186,74,260,22003,11099,33102,28895,9770,38665,13137,9513,22650,18046,15741,33787,49,47,96,19629,9821,29450,24202,8160,32362,15850,13462,29312,11600,8315,19915,29,29,58,20446,10181,30627,26313,8891,35204,16775,14475,31250,12067,8762,20829,987,2294,3281,82267,46197,128464,18232,15815,34047,206495,271781,739,1.027852876,250280.0463,338.6739463,3.5237,31.0335
Lango,Kole District,5,8,13,14158,5978,20136,19316,7020,26336,5803,4079,9882,10717,9706,20423,5,7,12,14142,5966,20108,19248,6992,26240,10696,9668,20364,5788,4063,9851,5,7,12,14141,5966,20107,19246,6992,26238,10695,9667,20362,5787,4063,9850,1969,4340,6309,49999,26791,76790,10722,9714,20436,239327,294301,1073,1.020892478,276599.7132,257.7816526,2.3031, 32.7633
Karamoja,Kotido District,25,31,56,7818,4804,12622,16944,8729,25673,6466,4903,11369,19011,17562,36573,24,30,54,7317,4452,11769,15600,7942,23542,18386,16996,35382,6114,4591,10705,25,31,56,7347,4498,11845,15476,8134,23610,18451,17003,35454,6181,4619,10800,296,1041,1337,50264,36029,86293,19036,17593,36629,181050,219734,3610,1.019553156,207332.6229,57.43285953,3.0352, 34.0641
Teso,Kumi District,6,20,26,21188,11214,32402,30958,15121,46079,10682,8527,19209,12691,11590,24281,6,11,17,21084,11113,32197,30402,14938,45340,12509,11491,24000,10608,8406,19014,5,11,16,20957,11081,32038,30293,14851,45144,12493,11475,23968,10565,8405,18970,1117,2007,3124,75525,46472,121997,12697,11610,24307,239268,286992,1005,1.018353399,271752.9326,270.4009279,1.4877,33.9304
Lango,Kwania District,30,24,54,11987,5175,17162,14948,6577,21525,5160,3673,8833,6868,5846,12714,28,22,50,11563,5013,16576,14168,6357,20525,6564,5595,12159,5027,3597,8624,28,22,50,11561,5011,16572,13924,6354,20278,6562,5594,12156,5026,3597,8623,599,1126,1725,38993,21295,60288,6898,5870,12768,183304,216125,1223,1.016607493,205705.1132,168.197149,1.9033,32.7633
Bugisu,Kween District,5,2,7,2220,2251,4471,4548,3411,7959,921,820,1741,811,715,1526,4,2,6,1909,2068,3977,3616,3011,6627,617,545,1162,792,747,1539,4,2,6,1858,2027,3885,3503,2908,6411,595,524,1119,772,730,1502,22,83,105,8505,7199,15704,816,717,1533,93667,129277,851,1.032745867,117365.6123,137.9149381,1.4126,34.5528
North Central,Kyankwanzi District,11,7,18,5878,3820,9698,10539,5337,15876,3353,2920,6273,4434,4304,8738,9,5,14,5270,3516,8786,8316,6388,14704,3997,3902,7899,3075,2686,5761,9,5,14,5069,3380,8449,7913,4397,12310,3803,3715,7518,2986,2564,5550,1608,1067,2675,24215,16388,40603,4445,4311,8756,214693,278432,2455,1.026337332,257542.4177,104.9052618,1.2061,31.8164
Tooro,Kyegegwa District,81,22,103,14159,10395,24554,24286,14256,38542,8638,7654,16292,10472,9456,19928,66,16,82,12885,9327,22212,21914,13057,34971,9343,8793,18136,7872,6955,14827,66,16,82,13392,9972,23364,22650,13654,36304,9944,9045,18989,8255,7219,15474,750,2081,2831,57636,41783,99419,10553,9478,20031,281637,501120,1882,1.059315197,421566.5349,223.9992215,0.4818,31.055
Tooro,Kyenjojo District,65,36,101,13877,9321,23198,19859,12487,32346,6223,5385,11608,8516,8008,16524,35,29,64,12936,8844,21780,17634,11359,28993,7909,7355,15264,5865,5070,10935,31,28,59,12940,8876,21816,17596,11357,28953,7911,7347,15258,5901,5100,11001,415,856,1271,48540,35237,83777,8581,8044,16625,422204,543998,2352,1.025669629,504167.4637,214.3569148,0.6093,30.6401
South Central,Kyotera District,12,8,20,13021,11211,24232,18309,11113,29422,6828,6342,13170,6042,5938,11980,12,8,20,13021,11211,24232,18309,11113,29422,6042,5938,11980,6828,6342,13170,12,8,20,13021,11211,24232,18309,11113,29422,6042,5938,11980,6828,6342,13170,228,658,886,44212,34612,78824,6054,5946,12000,239563,275917,1723,1.014228644,264466.6076,153.4919371,0.6359,31.5456
Acholi,Lamwo District,25,22,47,43426,28582,72008,27793,10158,37951,19503,16514,36017,19376,18936,38312,24,18,42,42917,28293,71210,27235,10040,37275,19163,18763,37926,19308,16402,35710,24,18,42,42097,28178,70275,27205,10015,37220,18988,18688,37676,19296,16364,35660,875,1932,2807,110123,74212,184335,19401,18958,38359,134371,213156,5588,1.047223071,185600.8488,33.21418196,3.491,32.808
Lango,Lango,257,291,548,148392,69358,217750,196748,73721,270469,73764,56505,130269,98787,88889,187676,247,200,447,145903,68055,213958,190809,71438,262247,96838,87032,183870,72517,55505,128022,245,199,444,144131,67317,211448,188811,71093,259904,95831,85933,181764,71703,54798,126501,10429,20120,30549,517948,288764,806712,99044,89180,188224,2061694,2546118,12856,1.021328455,2389913.768,185.8987063,,
Lango,Lira City,19,14,33,6822,3698,10520,13184,5863,19047,3738,3017,6755,5847,5631,11478,19,13,32,6538,3481,10019,12230,5458,17688,5526,5290,10816,3465,2806,6271,19,13,32,6366,3404,9770,11943,5351,17294,5429,5139,10568,3402,2762,6164,367,1086,1453,29610,18223,47833,5866,5645,11511,207482,245132,285,1.016815033,233170.7844,818.1431032,2.2596,32.8903
Lango,Lira District,15,28,43,10541,5012,15553,16343,5506,21849,5711,4437,10148,8376,7319,15695,11,26,37,10236,4880,15116,15173,5265,20438,8108,7039,15147,5554,4304,9858,11,26,37,9934,4819,14753,15030,5230,20260,7973,6847,14820,5496,4239,9735,538,1050,1588,40986,22302,63288,8391,7347,15738,200561,242216,1046,1.01905033,228884.2586,218.8186029,2.2316,32.9438
Busoga,Luuka District,43,41,84,23881,12104,35985,40827,16571,57398,15656,11097,26753,24186,20372,44558,43,41,84,23872,12046,35918,40784,16544,57328,24151,20353,44504,15629,11074,26703,43,41,84,23869,11965,35834,40553,16511,57064,24120,20333,44453,15610,10992,26602,2072,5165,7237,104593,60185,164778,24229,20413,44642,238020,298639,650,1.02294741,278988.6922,429.2133727,0.7251,33.3037
North Central,Luwero District,160,115,275,22026,18714,40740,27776,17224,45000,12982,12529,25511,13311,12179,25490,78,92,170,20265,17405,37670,25287,15885,41172,11503,11223,22726,12097,11621,23718,70,111,181,20161,17259,37420,25067,15728,40795,11417,11298,22715,12002,11622,23624,943,2760,3703,76255,60761,137016,13471,12294,25765,456958,616242,2216,1.030356466,563363.6111,254.2254563,0.8271, 32.6277
South Central,Lwengo District,56,45,101,7796,6201,13997,11414,5963,17377,3749,3431,7180,4449,4176,8625,29,25,54,6784,5581,12365,8000,4418,12418,3412,3167,6579,3470,3147,6617,29,19,48,6546,5479,12025,7822,4423,12245,3313,3112,6425,3351,3077,6428,174,580,754,27464,19816,47280,4505,4221,8726,262604,325263,988,1.021629283,305038.5061,308.7434273,0.4165,31.3999
South Central,Lyantonde District,3,2,5,2994,2342,5336,5376,2935,8311,1401,1239,2640,1044,1044,2088,2,1,3,2986,2336,5322,4241,2926,7167,1036,1039,2075,1398,1233,2631,1,0,1,2913,2300,5213,4139,2871,7010,1024,1034,2058,1383,1225,2608,72,218,290,10818,7562,18380,1047,1046,2093,93753,133017,887,1.035600371,119765.1758,135.0227461,0.2241,31.2168
West Nile,Madi-Okollo District,7,6,13,23269,14584,37853,24377,8173,32550,13141,9941,23082,14773,14247,29020,7,6,13,22805,14503,37308,23787,7558,31345,14533,14034,28567,12948,9880,22828,7,6,13,23147,14534,37681,24349,7627,31976,14661,14051,28712,13044,9879,22923,1016,1750,2766,75567,46951,122518,14780,14253,29033,140188,178051,2048,1.024196666,165727.4103,80.92158706,2.8218,31.2168
Bugisu,Manafwa District,2,5,7,7828,4888,12716,11103,6863,17966,4271,3555,7826,8716,7557,16273,2,5,7,7150,4550,11700,9770,6255,16025,8286,7120,15406,4074,3337,7411,1,5,6,7145,4550,11695,9763,6220,15983,8295,7030,15325,4056,3324,7380,677,1354,2031,31920,22868,54788,8718,7562,16280,149544,186917,237,1.022558071,174817.4815,737.6265042,,
West Nile,Maracha District,141,145,286,29893,14789,44682,31336,8763,40099,18253,12694,30947,17323,15948,33271,141,144,285,28339,14017,42356,29445,8309,37754,16241,15010,31251,17309,12028,29337,141,144,285,29077,14408,43485,30223,8613,38836,16946,15625,32571,17806,12370,30176,1576,4039,5615,96946,52339,149285,17464,16093,33557,186134,234712,440,1.023460199,218938.6415,497.5878216,3.2873,30.9403
South Central,Masaka City,4,2,6,3215,2706,5921,8476,6190,14666,1802,1625,3427,2094,1986,4080,4,2,6,2641,2394,5035,5849,4206,10055,1656,1641,3297,1466,1390,2856,4,2,6,2628,2370,4998,5847,4171,10018,1632,1621,3253,1455,1380,2835,130,422,552,15591,12509,28100,2098,1988,4086,211591,294166,340,1.033497733,266479.5522,783.7633889,0.3427,31.7369
