Region,District,population_2014,population_2024
Karamoja,Abim District,107966,144084
Acholi,Acholi,1500762,2044355
West Nile,Adjumani District,107966,144084
Acholi,Agago District,227792,307235
Lango,Alebtong District,227541,283509
Lango,Amolatar District,147166,188715
Karamoja,Amudat District,105769,203358
Teso,Amuria District,183348,251653
Acholi,Amuru District,186696,247574
Ankole,Ankole,2895631,3608968
Lango,Apac District,185322,221962
West Nile,Arua City,309052,384656
West Nile,Arua District,133534,159722
Bukedi,Budaka District,207597,281537
Bugisu,Bududa District,210173,26897
Busoga,Bugiri District,382913,480345
Bugisu,Bugisu,1469892,1827757
Busoga,Bugweri District,164886,211511
Ankole,Buhweju District,12072,167921
North Central,Buikwe District,422771,520158
Teso,Bukedea District,203600,282864
Bukedi,Bukedi,1881415,2372489
South Central,Bukomansimbi District,151413,197568
Bugisu,Bukwo District,89356,114396
Bugisu,Bulambuli District,174513,235391
Bunyoro,Buliisa District,113161,167894
Tooro,Bundibugyo District,224387,264778
Tooro,Bunyangabu District,170247,219012
Bunyoro,Bunyoro,2028545,2792732
Ankole,Bushenyi District,234443,283392
Bukedi,Busia District,323662,412671
Busoga,Busoga,3583196,4363295
Bukedi,Butaleja District,244153,312771
South Central,Butambala District,10084,146516
Bukedi,Butebo District,111762,171433
North Central,Buvuma District,8989,110832
Busoga,Buyende District,323067,403486
Lango,Dokolo District,183093,215625
Tooro,Fort Portal City,10224,137549
South Central,Gomba District,159922,19912
Acholi,Gulu City,185042,233271
Acholi,Gulu District,108428,135373
Bunyoro,Hoima City,100099,143304
Bunyoro,Hoima District,205432,257544
Ankole,Ibanda District,249625,309466
Busoga,Iganga District,339311,426958
Ankole,Isingiro District,486360,635077
Busoga,Jinja City,247074,279184
Busoga,Jinja District,224168,280905
Karamoja,Kaabong District,116646,264631
Kigezi,Kabale District,230609,285588
Tooro,Kabarole District,196749,230368
Teso,Kaberamaido District,105152,140986
Bunyoro,Kagadi District,351033,471111
Bunyoro,Kakumiro District,293108,428176
Teso,Kalaki District,109874,149736
South Central,Kalangala District,54293,74411
Busoga,Kaliro District,286397,236199
South Central,Kalungu District,174368,221569
Kampala,Kampala,1507080,1797722
Kampala,Kampala District,1507080,1797722
Busoga,Kamuli District,486319,540252
Tooro,Kamwenge District,270668,337167
Kigezi,Kanungu District,252144,310062
Bugisu,Kapchorwa District,105186,133621
Teso,Kapelebyong District,87580,143536
Karamoja,Karamoja,965010,1496117
Karamoja,Karenga District,51233,100375
Tooro,Kasese District,694987,853831
North Central,Kassanda District,271544,314008
Teso,Katakwi District,166231,234332
North Central,Kayunga District,368062,439175
Ankole,Kazo District,177054,208898
Bunyoro,Kibaale District,140947,237649
North Central,Kiboga District,148218,183255
Bukedi,Kibuku District,202033,249441
Kigezi,Kigezi,1376774,1787231
Bunyoro,Kikuube District,267455,379547
Ankole,Kiruhura District,151023,203502
Bunyoro,Kiryandongo District,266197,364872
Kigezi,Kisoro District,281705,433662
Tooro,Kitagwenda District,143786,184947
Acholi,Kitgum District,204048,239655
West Nile,Koboko District,206495,271781
Lango,Kole District,239327,294301
Karamoja,Kotido District,181050,219734
Teso,Kumi District,239268,286992
Lango,Kwania District,183304,216125
Bugisu,Kween District,93667,129277
North Central,Kyankwanzi District,214693,278432
Tooro,Kyegegwa District,281637,501120
Tooro,Kyenjojo District,422204,543998
South Central,Kyotera District,239563,275917
Acholi,Lamwo District,134371,213156
Lango,Lango,2061694,2546118
Lango,Lira City,207482,245132
Lango,Lira District,200561,242216
Busoga,Luuka District,238020,298639
North Central,Luwero District,456958,616242
South Central,Lwengo District,262604,325263
South Central,Lyantonde District,93753,133017
West Nile,Madi-Okollo District,140188,178051
Bugisu,Manafwa District,149544,186917
West Nile,Maracha District,186134,234712
South Central,Masaka City,211591,294166
South Central,Masaka District,106626,115455
Bunyoro,Masindi District,291113,342635
Busoga,Mayuge District,473239,577563
Bugisu,Mbale City,266617,290414
Bugisu,Mbale District,222343,290356
Ankole,Mbarara City,199066,264425
Ankole,Mbarara District,145838,174039
Ankole,Mitooma District,183444,226009
North Central,Mityana District,328964,407386
Karamoja,Moroto District,103432,103639
West Nile,Moyo District,95951,109572
South Central,Mpigi District,250548,326690
North Central,Mubende District,412804,522015
North Central,Mukono District,596804,929224
Karamoja,Nabilatuk District,68409,136785
Karamoja,Nakapiripirit District,88281,111681
North Central,Nakaseke District,197373,251398
North Central,Nakasongola District,181795,226074
Busoga,Namayingo District,215443,266716
Bugisu,Namisindwa District,204281,257346
Busoga,Namutumba District,252557,311339
Karamoja,Napak District,142224,211830
West Nile,Nebbi District,238757,299398
Teso,Ngora District,141919,213777
North Central,North Central,,
Tooro,Ntoroko District,67005,114858
Ankole,Ntungamo District,483841,552786
Acholi,Nwoya District,133506,220593
West Nile,Obongi District,43061,142983
Acholi,Omoro District,142875,207339
Lango,Otuke District,104254,161069
Lango,Oyam District,383644,477464
Acholi,Pader District,178004,240159
West Nile,Pakwach District,158037,206961
Bukedi,Pallisa District,275128,334697
South Central,Rakai District,276746,346885
Kigezi,Rubanda District,196896,249454
Ankole,Rubirizi District,129149,168211
Kigezi,Rukiga District,100726,132355
Kigezi,Rukungiri District,314694,376110
Ankole,Rwampara District,127725,162967
South Central,Sembabule District,252597,305971
Teso,Serere District,285903,358123
Ankole,Sheema District,207343,252275
Bugisu,Sironko District,242421,298363
Teso,Soroti City,98501,134199
Teso,Soroti District,198332,266189
South Central,South Central,,
West Nile,Terego District,199303,323253
Teso,Teso,1819708,2462387
Tooro,Tooro,1587531,2154161
Bukedi,Tororo District,1881415,2372489
South Central,Wakiso District,1997418,3411177
West Nile,West Nile,2296403,3316255
West Nile,Yumbe District,484822,945100
West Nile,Zombo District,240081,312621
